CAR_SELL_NO,ID,CAR_SELL_EA,CAR_SELL_PRICE,CAR_SELL_DATE
1,r385156802,9,665892,2025. 10. 18
2,x843217012,2,72780,2023. 8. 22
3,x681315578,8,345808,2023. 4. 17
4,c384131512,1,37930,2023. 7. 23
5,u648101851,1,85628,2024. 10. 22
6,p866186767,5,107410,2025. 10. 18
7,s094435191,3,163089,2022. 10. 4
8,p462425214,3,268806,2025. 2. 24
9,w440020513,2,150788,2025. 10. 30
10,o401477677,6,442656,2025. 12. 1
11,c113845248,6,289818,2025. 12. 2
12,o784308773,6,366072,2022. 3. 10
13,n141306754,6,504468,2023. 10. 29
14,v036393304,3,168951,2025. 10. 12
15,g949682824,10,78810,2023. 6. 4
16,d210200375,9,135873,2023. 4. 17
17,x793884239,9,215505,2022. 7. 24
18,d599845976,9,379773,2025. 1. 31
19,w211478643,10,706930,2024. 2. 18
20,r796830976,3,107775,2025. 9. 21
21,l625004805,3,278760,2024. 7. 25
22,b528019990,2,30284,2023. 1. 31
23,b197017234,4,99692,2024. 3. 1
24,e851049483,2,20524,2024. 12. 5
25,w055659563,7,526785,2023. 5. 27
26,w136891530,9,96453,2024. 1. 31
27,y655933809,3,76134,2024. 2. 12
28,n221905959,1,89076,2023. 1. 13
29,m841136003,4,253900,2024. 12. 11
30,l541791141,9,33048,2025. 4. 3
31,r402862193,9,85572,2022. 4. 25
32,g670268769,9,825759,2022. 6. 12
33,b182147296,1,15232,2022. 9. 18
34,p615314891,8,776400,2024. 6. 19
35,n635288385,10,30430,2023. 11. 14
36,r643645905,4,324240,2022. 2. 26
37,g589340602,10,179770,2025. 8. 30
38,u859799671,5,171790,2023. 11. 29
39,w564949544,2,90082,2025. 9. 24
40,x589518264,2,185796,2022. 4. 23
41,n535495651,6,171270,2024. 4. 7
42,z005898421,2,7660,2024. 4. 8
43,w785382094,8,351576,2022. 12. 28
44,p150288206,2,178630,2024. 6. 10
45,c619902149,8,17408,2022. 7. 23
46,w771438651,4,73244,2022. 9. 12
47,t756846035,6,574866,2025. 2. 13
48,r796830976,8,287400,2025. 9. 14
49,s094435191,8,434904,2023. 10. 20
50,v646582340,8,421568,2022. 4. 3
51,u046686646,8,275800,2023. 3. 18
52,w274804528,1,42648,2022. 5. 11
53,m203002784,10,449120,2025. 8. 13
54,t154414556,7,186508,2022. 7. 25
55,k879665670,8,781560,2022. 9. 12
56,m685618551,9,612486,2025. 3. 15
57,q003233399,8,70440,2024. 5. 28
58,n631007731,3,111528,2025. 5. 18
59,h556691447,3,106614,2022. 4. 30
60,k748242632,1,36668,2025. 3. 17
61,y211817564,10,265190,2024. 8. 1
62,k155522980,4,386872,2025. 12. 29
63,e589800789,5,252495,2023. 12. 28
64,d796127156,4,223952,2025. 2. 13
65,p462425214,7,627214,2022. 11. 21
66,i455929585,1,38824,2025. 8. 7
67,v867724546,5,431775,2022. 1. 4
68,b086267339,6,411180,2024. 7. 13
69,w136891530,8,85736,2022. 6. 10
70,r112898430,7,198254,2023. 3. 7
71,p498110756,7,545370,2022. 6. 14
72,a972408263,8,557344,2024. 11. 9
73,f449136765,10,625640,2022. 3. 13
74,w499604172,8,176568,2024. 3. 27
75,r121630077,2,92998,2022. 5. 8
76,j465092284,8,51008,2025. 4. 22
